Airport Code,Airport Description
DLH,"- Duluth, MN: Duluth International"
A4K,"- Dune Lake, AK: Dune Lake Airport"
AMK,"- Durango, CO: Animas Air Park"
DRO,"- Durango, CO: Durango La Plata County"
A99,"- Eagle Creek, AK: Eagle Creek Airport"
EHR,"- Eagle Harbor, AK: Eagle Harbor Airport"
EAA,"- Eagle, AK: Eagle Airport"
EGE,"- Eagle, CO: Eagle County Regional"
FRG,"- East Farmingdale, NY: Republic"
HTO,"- East Hampton, NY: East Hampton Airport"
GA0,"- Eastman, GA: Heart of Georgia Regional"
ESN,"- Easton, MD: Easton/Newnam Field"
ESD,"- Eastsound, WA: Orcas Island"
EAU,"- Eau Claire, WI: Chippewa Valley Regional"
EDA,"- Edna Bay, AK: Edna Bay Airport"
EDW,"- Edwards, CA: Edwards AFB"
EEK,"- Eek, AK: Eek Airport"
EGX,"- Egegik, AK: Egegik Airport"
KKU,"- Ekuk, AK: Ekuk Airport"
KEK,"- Ekwok, AK: Ekwok Airport"
ZXO,"- El Capitan, AK: El Capitan Peak"
IPL,"- El Centro, CA: Imperial County"
ELD,"- El Dorado, AR: South Arkansas Regional at Goodwin Field"
BIF,"- El Paso, TX: Biggs AAF"
ELP,"- El Paso, TX: El Paso International"
ELV,"- Elfin Cove, AK: Elfin Cove Seaplane Base"
ELI,"- Elim, AK: Elim Airport"
EKO,"- Elko, NV: Elko Regional"
ELM,"- Elmira/Corning, NY: Elmira/Corning Regional"
LYU,"- Ely, MN: Ely Municipal"
ELY,"- Ely, NV: Ely Airport/Yelland Field"
EMK,"- Emmonak, AK: Emmonak Airport"
WDG,"- Enid, OK: Enid Woodring Regional"
ERI,"- Erie, PA: Erie International/Tom Ridge Field"
ESC,"- Escanaba, MI: Delta County"
EUG,"- Eugene, OR: Mahlon Sweet Field"
EVV,"- Evansville, IN: Evansville Regional"
EVM,"- Eveleth, MN: Eveleth Virginia Municipal"
PAE,"- Everett, WA: Snohomish County"
EXI,"- Excursion Inlet, AK: Excursion Inlet Seaplane Base"
EIL,"- Fairbanks, AK: Eielson AFB"
FAI,"- Fairbanks, AK: Fairbanks International"
FBK,"- Fairbanks, AK: Ladd AAF"
A01,"- Fairbanks/Ft. Wainwright, AK: Blair Lake"
A6K,"- Fairbanks1, AK: Van Curlers Sandbar"
SUU,"- Fairfield, CA: Travis AFB"
FAJ,"- Fajardo, PR: Diego Jimenez Torres"
KFP,"- False Pass, AK: False Pass Airport"
FWL,"- Farewell, AK: Farewell Airport"
FAR,"- Fargo, ND: Hector International"
FMN,"- Farmington, NM: Four Corners Regional"
FYV,"- Fayetteville, AR: Drake Field"
XNA,"- Fayetteville, AR: Northwest Arkansas Regional"
FAY,"- Fayetteville, NC: Fayetteville Regional/Grannis Field"
POB,"- Fayetteville, NC: Pope AAF"
FFM,"- Fergus Falls, MN: Fergus Falls Municipal-Einar Mickelson Field"
FIC,"- Fire Cove, AK: Fire Cove Airport"
FAQ,"- Fitiuta Village, TT: Fitiuta"
FLG,"- Flagstaff, AZ: Flagstaff Pulliam"
FLT,"- Flat, AK: Flat Airport"
FNT,"- Flint, MI: Bishop International"
FLO,"- Florence, SC: Florence Regional"
FNL,"- Fort Collins/Loveland, CO: Northern Colorado Regional"
WRI,"- Fort Dix, NJ: McGuire Field"
FOD,"- Fort Dodge, IA: Fort Dodge Regional"
FQW,"- Fort Glenn, AK: Fort Glenn Airport"
FHU,"- Fort Huachuca, AZ: Sierra Vista Municipal-Libby AAF"
FXE,"- Fort Lauderdale, FL: Fort Lauderdale Executive"
TBN,"- Fort Leonard Wood, MO: Waynesville-St. Robert Regional Forney Field"
RSW,"- Fort Myers, FL: Southwest Florida International"
FPR,"- Fort Pierce, FL: Treasure Coast International"
FSI,"- Fort Sill, OK: Henry Post AAF"
FSM,"- Fort Smith, AR: Fort Smith Regional"
FWA,"- Fort Wayne, IN: Fort Wayne International"
FWH,"- Fort Worth, TX: Fort Worth NAS JRB/Carswell Field"
FYU,"- Fort Yukon, AK: Fort Yukon Airport"
FKL,"- Franklin/Oil City, PA: Venango Regional"
VZE,"- Frazer Lake, AK: Frazer Lake Airport"
FAT,"- Fresno, CA: Fresno Yosemite International"
FRD,"- Friday Harbor, WA: Friday Harbor Airport"
FBS,"- Friday Harbor, WA: Friday Harbor Seaplane Base"
FNR,"- Funter Bay Alaska, AK: Funter Bay"
GNV,"- Gainesville, FL: Gainesville Regional"
GVL,"- Gainesville, GA: Lee Gilmer Memorial"
GBH,"- Galbraith Lake, AK: Galbraith Lake Airport"
GAL,"- Galena, AK: Edward G. Pitka Sr."
GUP,"- Gallup, NM: Gallup Municipal"
GAM,"- Gambell, AK: Gambell Airport"
GEK,"- Ganes Creek, AK: Ganes Creek Airport"
GCK,"- Garden City, KS: Garden City Regional"
GYY,"- Gary, IN: Gary/Chicago International"
GTU,"- Georgetown, TX: Georgetown Municipal"
GCC,"- Gillette, WY: Gillette Campbell County"
AQY,"- Girdwood, AK: Girdwood Airport"
GGW,"- Glasgow, MT: Wokal Field Glasgow Valley County"
AZ3,"- Glendale, AZ: Glendale Municipal"
GDV,"- Glendive, MT: Dawson Community"
GFL,"- Glens Falls, NY: Floyd Bennett Memorial"
AK6,"- Gold King 2, AK: Gold King 2 Airport"
FVW,"- Golden Creek Mine, AK: Golden Creek Mine Airport"
GLV,"- Golovin, AK: Golovin Airport"
GNU,"- Goodnews Bay, AK: Goodnews"
GYR,"- Goodyear, AZ: Phoenix Goodyear"
FVX,"- Grace Harbor, AK: Grace Harbor Airport"
JGC,"- Grand Canyon, AZ: Grand Canyon Heliport"
GCN,"- Grand Canyon, AZ: Grand Canyon National Park"
AZ1,"- Grand Canyon, AZ: Valle"
GFK,"- Grand Forks, ND: Grand Forks International"
GRI,"- Grand Island, NE: Central Nebraska Regional"
GJT,"- Grand Junction, CO: Grand Junction Regional"
GRR,"- Grand Rapids, MI: Gerald R. Ford International"
GPZ,"- Grand Rapids, MN: Grand Rapids/Itasca County-Gordon Newstrom Field"
VWZ,"- Granite Creek Mine, AK: Granite Creek Mine Airport"
GMT,"- Granite Mountain, AK: Granite Mountain AS"
KGX,"- Grayling, AK: Grayling Airport"
GBD,"- Great Bend, KS: Great Bend Municipal"
GTF,"- Great Falls, MT: Great Falls International"
RYE,"- Greeley, CO: Weld County Municipal"
GRB,"- Green Bay, WI: Green Bay Austin Straubel International"
GSO,"- Greensboro/High Point, NC: Piedmont Triad International"
GLH,"- Greenville, MS: Greenville Mid Delta"
PGV,"- Greenville, NC: Pitt Greenville"
GVT,"- Greenville, TX: Majors"
GWO,"- Greenwood, MS: Greenwood/Leflore"
GSP,"- Greer, SC: Greenville-Spartanburg International"
UAM,"- Guam, TT: Andersen AFB"
GUM,"- Guam, TT: Guam International"
GUF,"- Gulf Shores, AL: Jack Edwards National"
GPT,"- Gulfport/Biloxi, MS: Gulfport-Biloxi International"
GKN,"- Gulkana, AK: Gulkana Airport"
GUC,"- Gunnison, CO: Gunnison-Crested Butte Regional"
GST,"- Gustavus, AK: Gustavus Airport"
HGR,"- Hagerstown, MD: Hagerstown Regional-Richard A. Henson Field"
HNS,"- Haines, AK: Haines Airport"
A03,"- Hallo Bay, AK: Hallo Bay Airport"
HNM,"- Hana, HI: Hana Airport"
CMX,"- Hancock/Houghton, MI: Houghton County Memorial"
VWD,"- Hanford, CA: Hanford Municipal"
ZXJ,"- Happy Harbour, AK: Happy Harbour Airport"
HRL,"- Harlingen/San Benito, TX: Valley International"
MDT,"- Harrisburg, PA: Harrisburg International"
HRO,"- Harrison, AR: Boone County"
BDL,"- Hartford, CT: Bradley International"
PIB,"- Hattiesburg/Laurel, MS: Hattiesburg-Laurel Regional"
HVR,"- Havre, MT: Havre City-County"
HWI,"- Hawk Inlet, AK: Hawk Inlet Airport"
HHR,"- Hawthorne, CA: Jack Northrop Field/Hawthorne Municipal"
HDN,"- Hayden, CO: Yampa Valley"
HYS,"- Hays, KS: Hays Regional"
HKB,"- Healy, AK: Healy River"
HLN,"- Helena, MT: Helena Regional"
T2X,"- Hereford, TX: Hereford Municipal"
HES,"- Hermiston, OR: Hermiston Municipal"
HIB,"- Hibbing, MN: Range Regional"
HKY,"- Hickory, NC: Hickory Regional"
HIO,"- Hillsboro, OR: Portland Hillsboro"
ITO,"- Hilo, HI: Hilo International"
HHH,"- Hilton Head, SC: Hilton Head Airport"
HBH,"- Hobart Bay, AK: Hobart Bay Airport"
HOB,"- Hobbs, NM: Lea County Regional"
HGZ,"- Hogatza, AK: Hogatza Airport"
HOL,"- Holikachuk, AK: Holikachuk Airport"
HYL,"- Hollis, AK: Hollis Seaplane Base"
HCR,"- Holy Cross, AK: Holy Cross Airport"
HOM,"- Homer, AK: Homer Airport"
HST,"- Homestead, FL: Homestead ARB"
VWX,"- Hondo, TX: South Texas Regional at Hondo"
MKK,"- Hoolehua, HI: Molokai"
HNH,"- Hoonah, AK: Hoonah Airport"
HPB,"- Hooper Bay, AK: Hooper Bay Airport"
HOP,"- Hopkinsville, KY: Campbell AAF"
HOT,"- Hot Springs, AR: Memorial Field"
DWH,"- Houston, TX: David Wayne Hooks Memorial"
EFD,"- Houston, TX: Ellington"
HOU,"- Houston, TX: William P Hobby"
HUS,"- Hughes, AK: Hughes Airport"
HSV,"- Huntsville, AL: Huntsville International-Carl T Jones Field"
HON,"- Huron, SD: Huron Regional"
HSL,"- Huslia, AK: Huslia Airport"
HUT,"- Hutchinson, KS: Hutchinson Regional"
